Age,Gender,1,2,3,4,5,6,7,8,A1,9,10,11,12,13,14,15,16,17,A2,18,19,20,21,22,23,24,25,26,A3,27,28,29,30,31,32,33,34,35,A4,36,37,38,39,40,41,42,43,44,A5,45,46,47,48,49,50,51,52,A6,Feedback,Time,AnonymizedID
31,Mujer,0,0,0,3,2,3,3,3,Las rosas son rojas,2,2,3,2,2,3,0,0,0,Tengo una naranja,0,2,0,3,2,0,0,0,1,Los gatos maúllan,1,1,1,1,3,2,0,1,3,Hoy es martes,2,0,0,0,0,1,2,1,0,Voy al cine,2,2,3,2,1,0,3,0,Me gusta leer revistas,,1009,ID1
36,Hombre,1,0,0,1,3,3,3,1,Las rosas son rojas,2,2,2,2,2,3,0,3,0,Tengo una naranja,1,2,0,1,2,0,0,3,1,Los gatos maúllan,2,1,3,1,1,2,0,2,3,Hoy es martes,2,0,3,0,0,1,2,1,3,Voy al cine,1,2,3,2,3,3,3,0,Me gusta leer revistas,,1398,ID2
44,Hombre,0,0,1,3,1,3,0,3,Las rosas son rojas,2,2,0,2,2,3,0,3,0,Tengo una naranja,0,3,0,3,2,0,0,0,1,Los gatos maúllan,2,3,1,1,3,2,0,2,2,Hoy es martes,2,0,3,0,0,1,2,1,0,Voy al cine,1,2,3,2,3,3,3,0,Me gusta leer revistas,No entiendo el apartado de autodescripción,1139,ID3
30,Hombre,3,0,0,0,1,0,3,3,Las rosas son rojas,1,2,0,3,0,1,2,3,3,Tengo una naranja,0,3,0,1,2,0,0,0,1,Los gatos maúllan,2,2,1,3,3,2,0,1,3,Hoy es martes,2,0,0,0,0,1,2,1,0,Voy al cine,0,2,3,2,0,3,3,0,Me gusta leer revistas,NO,988,ID4
27,Mujer,0,2,0,3,0,3,1,3,Las rosas son rojas,2,0,0,2,2,3,0,3,0,Tengo una naranja,0,3,1,3,2,1,0,0,1,Los gatos maúllan,2,1,1,3,3,2,0,1,3,Hoy es martes,2,0,1,0,0,1,2,3,0,Voy al cine,0,2,3,2,3,2,3,0,Me gusta leer revistas,,586,ID5
30,Hombre,0,0,1,1,3,3,1,3,Las rosas son rojas,2,2,2,2,0,3,0,3,0,Tengo una naranja,0,3,2,1,2,0,0,0,1,Los gatos maúllan,2,0,1,2,1,2,0,1,3,Hoy es martes,2,0,3,0,0,2,3,1,3,Voy al cine,1,2,3,2,1,3,3,0,Me gusta leer revistas,,3176,ID6
34,Hombre,0,0,3,3,1,3,1,1,Las rosas son rojas,2,3,0,2,2,3,3,3,1,Tengo una naranja,0,3,1,1,1,0,3,1,1,Los gatos maúllan,1,0,2,1,1,0,2,1,0,Hoy es martes,2,0,1,0,0,0,1,2,0,Voy al cine,0,0,2,0,0,3,1,1,Me gusta leer revistas,,1108,ID7
29,Mujer,0,0,1,2,3,3,1,3,Las rosas son rojas,2,2,2,2,1,3,0,3,0,Tengo una naranja,0,3,3,1,2,0,0,0,1,Los gatos maúllan,2,0,1,2,1,2,0,1,3,Hoy es martes,2,0,3,0,0,1,3,1,0,Voy al cine,1,1,3,2,1,3,3,0,Me gusta leer revistas,Ha estado todo correcto aunque algunas preguntas han sido difíciles ,581,ID8
27,Mujer,0,0,0,1,3,3,3,1,Las rosas son rojas,2,0,2,2,2,3,0,0,0,Tengo una naranja,0,2,0,1,2,0,0,0,1,Los gatos maúllan,2,1,1,1,3,2,0,2,3,Hoy es martes,2,0,3,0,0,1,2,1,0,Voy al cine,1,2,3,2,1,3,3,0,Me gusta leer revistas,Algunas preguntas son un poco confusas y me costaba entenderlas,1365,ID9
52,Hombre,0,0,0,1,1,3,1,1,Las rosas son rojas,2,2,2,2,2,3,0,0,0,Tengo una naranja,1,3,1,1,1,0,0,0,1,Los gatos maúllan,3,1,3,1,3,2,0,1,3,Hoy es martes,2,0,1,0,0,1,2,1,0,Voy al cine,2,1,3,2,0,3,3,0,Me gusta leer revistas,Al final todas las opciones te parecen iguales,1141,ID10
